Date,SPY,BTC,AAPL,MSFT,IBM,GLDI,V
5/22/2018,272.609985,8041.779785,187.1600037,97.5,145.0899963,8.817000389,130.7100067
5/29/2018,269.019989,7472.589844,187.8999939,98.01000214,141.2200012,8.899000168,129.6900024
6/5/2018,275.100006,7633.759766,193.3099976,102.1900024,143.6999969,8.850000381,133.5599976
6/12/2018,278.920013,6582.359863,192.2799988,101.3099976,146.8699951,8.840000153,134.8600006
6/19/2018,275.5,6769.939941,185.6900024,100.8600006,143.8999939,8.68999958,135.1100006
6/26/2018,271.600006,6093.669922,184.4299927,99.08000183,139.0800018,8.579999924,132.5500031
7/3/2018,270.899994,6529.589844,183.9199982,99.05000305,139.5700073,8.550000191,131.4499969
7/10/2018,278.899994,6329.950195,190.3500061,102.1200027,144.7100067,8.56000042,136.6900024
7/17/2018,280.470001,7321.040039,191.4499969,105.9499969,143.4900055,8.369999886,139.6399994
7/24/2018,281.609985,8424.269531,193,107.6600037,146.3800049,8.31000042,140.0299988
7/31/2018,281.329987,7780.439941,190.2899933,106.0800018,144.9299927,8.300000191,136.7400055
8/7/2018,285.579987,6753.120117,207.1100006,108.8799973,147.0099945,8.220000267,140.2799988
8/14/2018,283.899994,6199.709961,209.75,109.5599976,143.3600006,8.100000381,140.7599945
8/21/2018,286.339996,6488.759766,215.0399933,105.9800034,145.9700012,8.130000114,140.0399933
8/28/2018,289.920013,7096.279785,219.6999969,110.2600021,146.5899963,8.161000252,145.1999969
9/4/2018,289.809998,7361.660156,228.3600006,111.7099991,145.6799927,8.119999886,147.8000031
9/11/2018,289.049988,6321.200195,223.8500061,111.2399979,146.4900055,8.130000114,145.4900055
9/18/2018,290.910004,6371.299805,218.2400055,113.2099991,148.5599976,8.130000114,147.6300049
9/25/2018,290.75,6446.470215,222.1900024,114.4499969,148.9100037,8.130000114,149.5800018
10/2/2018,291.559998,6556.100098,229.2799988,115.1500015,153.75,8.149999619,149.6699982
10/9/2018,287.399994,6642.640137,226.8699951,112.2600021,147.2400055,8.06000042,142.3099976
10/16/2018,280.399994,6596.109863,222.1499939,111,145.1199951,8.260000229,141.7400055
10/23/2018,273.609985,6475.740234,222.7299957,108.0999985,131.2100067,8.239999771,139.1199951
10/30/2018,267.769989,6334.27002,213.3000031,103.7300034,115.4000015,8.260000229,132.7599945
11/6/2018,275.119995,6461.009766,203.7700043,107.7200012,123.1200027,8.289999962,140.7899933
11/13/2018,272.059998,6359.490234,192.2299957,106.9400024,120.8399963,8.175999641,139.7200012
11/20/2018,264.119995,4451.870117,176.9799957,101.7099991,117.1999969,8.170000076,133.3699951
11/27/2018,268.399994,3820.719971,174.2400055,107.1399994,120.0299988,8.149999619,135.9100037
12/4/2018,270.25,3956.893799,176.6900024,108.5199966,121.5999985,8.300000191,138.6399994
12/11/2018,264.130005,3424.588135,168.6300049,108.5899963,120.8899994,8.331000328,136.8099976
12/18/2018,255.080002,3696.059082,166.0700073,103.9700012,116.6500015,8.380000114,132.6600037
12/25/2018,255.080002,3815.490723,166.0700073,103.9700012,116.6500015,8.380000114,132.6600037
1/1/2019,255.080002,3843.52002,166.0700073,103.9700012,116.6500015,8.380000114,132.6600037
1/8/2019,256.769989,4030.8479,150.75,102.8000031,119.8300018,8.588000298,136.8000031
1/15/2019,260.350006,3630.675293,153.0700073,105.0100021,121.7300034,8.581000328,137.3399963
1/22/2019,262.859985,3604.577148,153.3000031,105.6800003,122.5199966,8.510000229,138.0500031
1/29/2019,263.410004,3448.116943,154.6799927,102.9400024,134.3300018,8.729999542,135
2/5/2019,273.100006,3466.357422,174.1799927,107.2200012,135.5500031,8.777999878,142.5299988
2/12/2019,274.100006,3653.528564,170.8899994,106.8899994,136.0500031,8.739999771,141.9900055
2/19/2019,277.850006,3947.094482,170.9299927,108.1699982,138.6999969,8.859999657,144.4400024
2/26/2019,279.320007,3854.35791,174.3300018,112.3600006,139.7200012,8.81000042,147.0399933
3/5/2019,279.019989,3896.375,175.5299988,111.6999969,137.8800049,8.529999733,147.9499969
3/12/2019,279.48999,3909.15625,180.9100037,113.6200027,138.2799988,8.609999657,151.7299957
3/19/2019,282.399994,4071.190186,186.5299988,117.6500015,140.4900055,8.649999619,154.5899963
3/26/2019,281.119995,3985.080811,186.7899933,117.9100037,140.2200012,8.725000381,155.3000031
4/2/2019,285.970001,4879.87793,194.0200043,119.1900024,143,8.550000191,157.7799988
4/9/2019,287.309998,5204.958496,199.5,119.2799988,142.1100006,8.616000175,157.4900055
4/16/2019,290.160004,5235.55957,199.25,120.7699966,145.1399994,8.479999542,160.2299957
4/23/2019,292.880005,5572.361816,207.4799957,125.4400024,140.4400024,8.409999847,161.6600037
4/30/2019,294.019989,5350.726563,200.6699982,130.6000061,140.2700043,8.505000114,164.4299927
5/7/2019,287.929993,5829.501465,202.8600006,125.5199966,137.6399994,8.529999733,160.2100067
5/14/2019,283.399994,7994.416016,188.6600037,124.7300034,133.3099976,8.640000343,160.2100067
5/21/2019,286.51001,7963.327637,186.6000061,126.9000015,136.4499969,8.425999641,163.8600006
5/28/2019,280.149994,8719.961914,178.2299957,126.1600037,130.4600067,8.479999542,163.7100067
6/4/2019,280.529999,7707.770996,179.6399994,123.1600037,132.6900024,8.703000069,162.3300018
6/11/2019,288.899994,7927.714355,194.8099976,132.1000061,135.9499969,8.744000435,170.3099976
6/18/2019,292.399994,9081.762695,198.4499969,135.1600037,136.3800049,8.812999725,169.2799988
6/25/2019,290.76001,11790.91699,195.5700073,133.4299927,138.3600006,8.909999847,171.2799988
7/2/2019,296.429993,10801.67773,202.7299957,136.5800018,140.2200012,8.970000267,175.2799988
7/9/2019,297.190002,12573.8125,201.2400055,136.4600067,139.3300018,8.954999924,177.7299957
7/16/2019,299.779999,9477.641602,204.5,137.0800018,143.5299988,8.961999893,179.3099976
7/23/2019,300.029999,9900.767578,208.8399963,139.2899933,150.3800049,8.944999695,180.8999939
7/30/2019,300.720001,9607.423828,208.7799988,140.3500061,149.7700043,9.06099987,181.5299988
8/6/2019,287.799988,11478.16895,197,134.6900024,140.7299957,9.159999847,172.4799957
8/13/2019,292.549988,10895.83008,208.9700012,138.6000061,135.7899933,9.31000042,178.6100006
8/20/2019,290.089996,10763.23242,210.3600006,137.2599945,133,9.225000381,179.2400055
8/27/2019,286.869995,10185.5,204.1600037,135.7400055,131.1699982,9.289999962,178.3800049
9/3/2019,290.73999,10623.54004,205.6999969,136.0399933,134.1000061,9.399999619,179.1999969
9/10/2019,298.130005,10115.97559,216.6999969,136.0800018,145.0500031,9.220000267,176.3500061
9/17/2019,300.920013,10241.27246,220.6999969,137.3899994,142.1999969,9.279999733,176.4499969
9/24/2019,295.869995,8620.566406,217.6799927,137.3800049,141.6799927,9.210000038,174.4799957
