Date,AAPL,MSFT,IBM,AABA,GLDI,V
11/18/2015,117.2900009,53.84999847,135.8200073,32.97999954,10.41699982,80.45999908
11/19/2015,118.7799988,53.93999863,136.7400055,32.625,10.47000027,80.15000153
11/20/2015,119.3000031,54.18999863,138.5,33.11000061,10.44999981,80.19000244
11/23/2015,117.75,54.18999863,138.4600067,33.36000061,10.38899994,80.11000061
11/24/2015,118.8799973,54.25,138.6000061,32.95999908,10.43999958,79.79000092
11/25/2015,118.0299988,53.68999863,138,33.15999985,10.39299965,79.55999756
11/27/2015,117.8099976,53.93000031,138.4600067,32.93999863,10.26000023,79.83999634
11/30/2015,118.3000031,54.34999847,139.4199982,33.81000137,10.34000015,79.01000214
12/1/2015,117.3399963,55.22000122,141.2799988,33.70999908,10.39000034,79.91000366
12/2/2015,116.2799988,55.20999908,139.6999969,35.65000153,10.22999954,79.04000092
12/3/2015,115.1999969,54.20000076,138.9199982,34.34000015,10.31799984,78.29000092
12/4/2015,119.0299988,55.90999985,140.4299927,34.90999985,10.55099964,80.40000153
12/7/2015,118.2799988,55.81000137,139.5500031,34.68000031,10.44999981,79.55000305
12/8/2015,118.2300034,55.79000092,138.0500031,34.84999847,10.39999962,79.06999969
12/9/2015,115.6200027,54.97999954,136.6100006,34.40000153,10.43000031,77.87999725
12/10/2015,116.1699982,55.27000046,136.7799988,34.63000107,10.38000011,78.12000275
12/11/2015,113.1800003,54.06000137,134.5700073,32.90999985,10.39099979,76.11000061
12/14/2015,112.4800034,55.13999939,135.9299927,32.59000015,10.36999989,76.87000275
12/15/2015,110.4899979,55.20000076,137.7899933,33.02999878,10.31000042,78.62000275
12/16/2015,111.3399963,56.13000107,139.2899933,33.77999878,10.40999985,79.86000061
12/17/2015,108.9800034,55.70000076,136.75,33.22999954,10.22999954,78.69000244
12/18/2015,106.0299988,54.13000107,134.8999939,32.95000076,10.34899998,76.31999969
12/21/2015,107.3300018,54.83000183,135.5,32.96500015,10.43999958,77.16999817
12/22/2015,107.2300034,55.34999847,137.9299927,34.18999863,10.38099957,77.37999725
12/23/2015,108.6100006,55.81999969,138.5399933,34.45000076,10.34000015,78.55999756
12/24/2015,108.0299988,55.66999817,138.25,34.11000061,10.40999985,78.26000214
12/28/2015,106.8199997,55.95000076,137.6100006,33.59999847,10.34000015,78.52999878
12/29/2015,108.7399979,56.54999924,139.7799988,34.04000092,10.36999989,79.20999908
12/30/2015,107.3199997,56.31000137,139.3399963,33.36999893,10.28999996,78.34999847
12/31/2015,105.2600021,55.47999954,137.6199951,33.25999832,10.26000023,77.55000305
1/4/2016,105.3499985,54.79999924,135.9499969,31.39999962,10.39999962,75.69999695
1/5/2016,102.7099991,55.04999924,135.8500061,32.20000076,10.46700001,76.26999664
1/6/2016,100.6999969,54.04999924,135.1699982,32.15999985,10.56999969,75.26999664
1/7/2016,96.44999695,52.16999817,132.8600006,30.15999985,10.68000031,73.79000092
1/8/2016,96.95999908,52.33000183,131.6300049,30.62999916,10.64999962,72.87999725
1/11/2016,98.52999878,52.29999924,133.2299957,30.17000008,10.60000038,73.91999817
1/12/2016,99.95999908,52.77999878,132.8999939,30.69000053,10.53100014,74.76000214
1/13/2016,97.38999939,51.63999939,131.1699982,29.44000053,10.56400013,73.09999847
1/14/2016,99.51999664,53.11000061,132.9100037,30.31999969,10.47200012,73.80000305
1/15/2016,97.12999725,50.99000168,130.0299988,29.13999939,10.47900009,71.83000183
1/19/2016,96.66000366,50.56000137,128.1100006,29.73999977,10.47999954,71.38999939
1/20/2016,96.79000092,50.79000092,121.8600006,28.78000069,10.57999992,70.68000031
1/21/2016,96.30000305,50.47999954,122.9100037,29.30999947,10.57900047,71.55999756
1/22/2016,101.4199982,52.29000092,122.5,29.75,10.55599976,72.69999695
1/25/2016,99.44000244,51.79000092,122.0800018,29.78000069,10.64000034,71.73999786
1/26/2016,99.98999786,52.16999817,122.5899963,29.97999954,10.71000004,71.87999725
1/27/2016,93.41999817,51.22000122,120.9599991,29.69000053,10.69999981,70.91000366
1/28/2016,94.08999634,52.06000137,122.2200012,28.75,10.68999958,69.33000183
1/29/2016,97.33999634,55.09000015,124.7900009,29.51000023,10.69999981,74.48999786
2/1/2016,96.43000031,54.70999908,124.8300018,29.56999969,10.74300003,74.37999725
2/2/2016,94.48000336,53,122.9400024,29.05999947,10.72500038,73.40000153
2/3/2016,96.34999847,52.15999985,124.7200012,27.68000031,10.74199963,74.37999725
2/4/2016,96.59999847,52,127.6500015,29.14999962,10.84300041,73.68000031
